FlowCell Text Data File: 85.2.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-15
Time: 15:12:09
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 869233
Source A Zero: 344722.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
591530.467, 335118.667, 28.14, 0.802602, , 
593042.233, 335043.567, 28.24, 0.796354, , 
594529.133, 335168.633, 28.34, 0.791558, , 
595225.733, 335160.600, 28.43, 0.788869, , 
595683.533, 335125.600, 28.53, 0.786904, , 
596053.667, 335066.667, 28.63, 0.785110, , 
595773.533, 335112.867, 28.73, 0.786478, , 
595426.433, 335098.667, 28.83, 0.787695, , 
594810.233, 335077.567, 28.93, 0.789883, , 
594260.133, 335244.667, 29.03, 0.793087, , 
592774.667, 335224.267, 29.13, 0.798583, , 
591553.367, 335275.633, 29.23, 0.803569, , 
589840.900, 335298.067, 29.33, 0.810244, , 
587128.133, 335292.667, 29.43, 0.820581, , 
584646.233, 335174.900, 29.53, 0.829324, , 
582186.133, 335197.700, 29.63, 0.838967, , 
579057.400, 335137.967, 29.73, 0.850692, , 
575944.800, 335222.433, 29.83, 0.863389, , 
572455.100, 335251.967, 29.93, 0.877264, , 
568483.067, 335233.767, 30.03, 0.892811, , 
564472.300, 335278.867, 30.12, 0.909047, , 
559488.733, 335118.833, 30.22, 0.927930, , 
554425.467, 335100.033, 30.32, 0.948262, , 
548833.267, 335140.900, 30.42, 0.971351, , 
543286.667, 335241.767, 30.52, 0.994887, , 
537237.900, 335260.200, 30.62, 1.020207, , 
530321.467, 335305.767, 30.72, 1.049673, , 
522560.333, 335203.033, 30.82, 1.082161, , 
514299.300, 335245.300, 30.92, 1.118306, , 
504869.233, 335226.900, 31.02, 1.159829, , 
494272.033, 335258.667, 31.12, 1.207782, , 
482811.300, 335298.000, 31.22, 1.260841, , 
469941.733, 335325.300, 31.32, 1.321825, , 
454589.100, 335268.400, 31.42, 1.396191, , 
438337.067, 335207.300, 31.52, 1.477709, , 
420690.333, 335250.133, 31.62, 1.570470, , 
400152.200, 335173.267, 31.71, 1.682593, , 
378195.333, 335264.000, 31.82, 1.810203, , 
356998.200, 335117.400, 31.92, 1.939024, , 
334246.967, 335146.167, 32.01, 2.087410, , 
309877.833, 335178.500, 32.11, 2.257989, , 
287013.533, 335150.333, 32.21, 2.430293, , 
265588.733, 335275.733, 32.31, 2.605725, , 
244745.600, 335274.967, 32.41, 2.789647, , 
224317.633, 335232.700, 32.51, 2.985503, , 
206382.933, 335028.967, 32.61, 3.171663, , 
189822.833, 335165.100, 32.71, 3.360808, , 
174658.767, 335139.867, 32.81, 3.548004, , 
161333.700, 335080.767, 32.91, 3.726200, , 
149825.733, 334993.967, 33.01, 3.892153, , 
138799.600, 335054.233, 33.11, 4.064585, , 
129706.633, 335080.300, 33.21, 4.217241, , 
121187.967, 335134.933, 33.31, 4.370485, , 
114592.367, 335040.167, 33.41, 4.495787, , 
107951.567, 335055.533, 33.50, 4.630238, , 
102912.567, 335109.567, 33.61, 4.738178, , 
98284.000, 335046.667, 33.71, 4.841317, , 
94078.667, 335108.900, 33.80, 4.940146, , 
90697.700, 335107.400, 33.90, 5.022501, , 
88048.933, 335128.000, 34.00, 5.089340, , 
85379.400, 335132.067, 34.10, 5.158654, , 
83377.567, 335102.633, 34.20, 5.211849, , 
81770.967, 335142.700, 34.30, 5.255905, , 
80581.333, 335238.800, 34.40, 5.289531, , 
79377.867, 335238.300, 34.50, 5.323391, , 
78368.867, 335215.000, 34.60, 5.352024, , 
77657.700, 335179.667, 34.70, 5.372301, , 
77370.067, 335184.067, 34.80, 5.380682, , 
76995.967, 335063.567, 34.90, 5.390780, , 
76945.800, 335291.367, 35.00, 5.393777, , 
77140.167, 335123.600, 35.10, 5.386973, , 
77494.233, 335092.867, 35.20, 5.376461, , 
77957.400, 335043.367, 35.29, 5.362718, , 
