FlowCell Text Data File: Rel606.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-10-20
Time: 15:43:57
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Sorvall/Thermo/Fisher
Rotor Model: TH-641
Speed: 35k rpm
Gradient: Sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 882574
Source A Zero: 330125.4

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
513430.600, 331977.700, 15.59, 1.231715, , 
504131.467, 331892.967, 15.69, 1.272273, , 
496213.767, 331970.033, 15.79, 1.308421, , 
489879.900, 331893.700, 15.89, 1.336814, , 
485178.800, 331887.267, 15.99, 1.358471, , 
481559.633, 331983.400, 16.09, 1.375972, , 
478747.733, 331867.100, 16.19, 1.388363, , 
477632.867, 331955.133, 16.28, 1.394206, , 
477708.367, 331943.100, 16.38, 1.393769, , 
479177.400, 331966.333, 16.49, 1.387017, , 
481633.133, 331941.267, 16.58, 1.375343, , 
485497.800, 332047.133, 16.68, 1.358075, , 
490557.400, 331964.833, 16.78, 1.334186, , 
496512.800, 332077.167, 16.88, 1.307791, , 
503674.933, 332055.533, 16.98, 1.275414, , 
511133.500, 331967.100, 17.08, 1.241734, , 
519443.633, 331920.967, 17.18, 1.205127, , 
528030.967, 331857.233, 17.28, 1.167796, , 
537392.333, 331939.933, 17.38, 1.128808, , 
546731.833, 331849.233, 17.48, 1.089418, , 
556666.833, 331868.600, 17.58, 1.049023, , 
566199.867, 332048.767, 17.68, 1.012031, , 
575781.567, 331961.367, 17.78, 0.973674, , 
584487.400, 332061.933, 17.88, 0.940584, , 
593659.733, 331992.933, 17.98, 0.905074, , 
602140.133, 332042.533, 18.07, 0.873490, , 
610151.700, 332106.967, 18.18, 0.844182, , 
