FlowCell Text Data File: 85.3.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-15
Time: 15:25:34
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 869233
Source A Zero: 344722.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
568677.733, 334476.200, 29.62, 0.886949, , 
566473.833, 334445.633, 29.72, 0.895482, , 
563268.067, 334431.833, 29.82, 0.908161, , 
560802.500, 334427.100, 29.92, 0.918001, , 
557123.833, 334344.600, 30.02, 0.932257, , 
553246.300, 334495.033, 30.12, 0.948987, , 
549286.267, 334408.233, 30.22, 0.964569, , 
544405.900, 334468.967, 30.32, 0.985062, , 
540112.100, 334449.233, 30.42, 1.002749, , 
534683.333, 334390.867, 30.52, 1.025090, , 
529176.767, 334371.133, 30.61, 1.048254, , 
523284.667, 334415.933, 30.71, 1.073754, , 
516718.900, 334430.467, 30.81, 1.102267, , 
509643.600, 334401.333, 30.91, 1.133098, , 
501948.000, 334449.733, 31.01, 1.167665, , 
493534.800, 334628.000, 31.11, 1.206903, , 
483574.367, 334427.767, 31.21, 1.251439, , 
473321.600, 334467.033, 31.31, 1.299930, , 
460661.267, 334430.333, 31.41, 1.360697, , 
446950.467, 334391.067, 31.51, 1.428430, , 
431661.200, 334476.067, 31.61, 1.507332, , 
415248.533, 334556.100, 31.71, 1.595106, , 
395847.333, 334381.167, 31.81, 1.701609, , 
376129.567, 334520.833, 31.91, 1.817535, , 
354726.533, 334457.200, 32.01, 1.948952, , 
333074.933, 334444.767, 32.10, 2.090600, , 
310085.667, 334366.967, 32.21, 2.251025, , 
287909.233, 334334.400, 32.30, 2.417796, , 
266744.800, 334373.267, 32.40, 2.589885, , 
247011.033, 334376.267, 32.51, 2.762872, , 
225968.867, 334424.400, 32.60, 2.963565, , 
209346.267, 334444.600, 32.70, 3.135651, , 
193115.767, 334419.667, 32.80, 3.317093, , 
178234.700, 334422.500, 32.90, 3.497572, , 
164816.167, 334561.033, 33.00, 3.674646, , 
153546.767, 334454.300, 33.10, 3.833317, , 
143159.000, 334473.200, 33.20, 3.991085, , 
133710.000, 334433.400, 33.30, 4.144483, , 
125811.067, 334547.800, 33.40, 4.282286, , 
118987.233, 334515.133, 33.50, 4.407562, , 
113109.333, 334466.933, 33.60, 4.521248, , 
108017.200, 334378.233, 33.70, 4.624316, , 
103513.700, 334494.067, 33.80, 4.720934, , 
99654.767, 334439.933, 33.89, 4.806068, , 
96146.833, 334540.300, 33.99, 4.887388, , 
93343.467, 334427.533, 34.10, 4.953222, , 
90720.033, 334448.600, 34.19, 5.017518, , 
88531.467, 334407.100, 34.29, 5.072195, , 
86754.100, 334375.033, 34.39, 5.117619, , 
85377.433, 334442.133, 34.49, 5.154068, , 
84301.900, 334529.667, 34.59, 5.183187, , 
83378.733, 334448.433, 34.69, 5.207420, , 
82448.800, 334438.400, 34.79, 5.232593, , 
81736.033, 334470.667, 34.89, 5.252349, , 
81318.800, 334404.600, 34.99, 5.263422, , 
81084.833, 334388.767, 35.09, 5.269799, , 
80744.767, 334376.933, 35.19, 5.279178, , 
80848.433, 334488.867, 35.29, 5.277044, , 
80928.600, 334330.000, 35.39, 5.273744, , 
80998.233, 334353.267, 35.48, 5.271965, , 
81492.133, 334435.567, 35.59, 5.258838, , 
82115.567, 334412.233, 35.69, 5.241531, , 
82803.300, 334375.200, 35.78, 5.222512, , 
83728.567, 334442.767, 35.88, 5.197959, , 
84943.700, 334373.433, 35.99, 5.165067, , 
86382.767, 334253.833, 36.08, 5.126456, , 
88072.833, 334306.833, 36.18, 5.083209, , 
90050.333, 334274.667, 36.28, 5.033022, , 
92448.100, 334314.533, 36.38, 4.974152, , 
95257.967, 334277.333, 36.48, 4.906521, , 
98422.733, 334336.167, 36.58, 4.833365, , 
102224.733, 334279.600, 36.68, 4.747689, , 
106416.133, 334382.600, 36.78, 4.657952, , 
111485.333, 334352.867, 36.88, 4.553026, , 
116658.833, 334270.633, 36.98, 4.450391, , 
122864.833, 334332.367, 37.08, 4.334164, , 
129341.200, 334265.533, 37.18, 4.218111, , 
137384.167, 334313.767, 37.28, 4.082673, , 
144524.500, 334468.800, 37.38, 3.969692, , 
152759.933, 334417.233, 37.47, 3.844629, , 
161606.233, 334468.367, 37.58, 3.718285, , 
170007.233, 334448.733, 37.68, 3.604104, , 
177833.133, 334436.567, 37.77, 3.502742, , 
