FlowCell Text Data File: 39.2.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-18
Time: 14:40:51
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 860628
Source A Zero: 343375.2

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
528237.133, 334271.433, 16.40, 1.038006, , 
521985.500, 334343.933, 16.50, 1.065286, , 
516617.733, 334361.100, 16.60, 1.088664, , 
512117.300, 334233.833, 16.70, 1.107497, , 
507881.667, 334279.433, 16.80, 1.126494, , 
505123.300, 334224.967, 16.89, 1.138383, , 
503851.933, 334282.533, 17.00, 1.144442, , 
503525.533, 334261.800, 17.10, 1.145761, , 
504929.733, 334329.933, 17.20, 1.139953, , 
507337.633, 334218.367, 17.29, 1.128495, , 
510871.233, 334354.967, 17.39, 1.113795, , 
515942.367, 334431.967, 17.50, 1.092084, , 
522149.267, 334498.567, 17.59, 1.065621, , 
528894.567, 334572.233, 17.69, 1.037231, , 
536074.533, 334359.333, 17.79, 1.005453, , 
544344.067, 334493.733, 17.89, 0.971907, , 
552784.367, 334475.700, 17.99, 0.937159, , 
561379.133, 334423.167, 18.09, 0.902085, , 
569937.800, 334456.467, 18.19, 0.868258, , 
577909.200, 334352.433, 18.29, 0.836301, , 
586054.567, 334390.500, 18.39, 0.805060, , 
593723.200, 334418.100, 18.49, 0.775989, , 
600999.533, 334378.000, 18.59, 0.748307, , 
607442.867, 334297.067, 18.68, 0.723763, , 
613851.067, 334317.667, 18.78, 0.700286, , 
619038.100, 334325.500, 18.88, 0.681402, , 
625112.833, 334356.500, 18.98, 0.659634, , 
629346.967, 334382.767, 19.08, 0.644619, , 
633594.733, 334326.900, 19.18, 0.629105, , 
636916.867, 334400.867, 19.28, 0.617834, , 
640108.733, 334381.100, 19.38, 0.606451, , 
642600.200, 334286.467, 19.48, 0.597072, , 
644377.067, 334280.467, 19.58, 0.590818, , 
646275.267, 334307.067, 19.68, 0.584377, , 
648201.500, 334317.167, 19.78, 0.577748, , 
649618.167, 334305.567, 19.88, 0.572756, , 
651099.467, 334358.033, 19.98, 0.567984, , 
652108.533, 334347.400, 20.08, 0.564427, , 
653233.667, 334378.333, 20.18, 0.560756, , 
654303.033, 334313.867, 20.28, 0.556641, , 
655434.133, 334325.700, 20.38, 0.552834, , 
656221.733, 334348.667, 20.48, 0.550286, , 
657437.867, 334488.333, 20.57, 0.547059, , 
