 Position(mm),Ancestor_01_T1,Ancestor_02_T1,Ancestor_03_T1,Ancestor_01_T2,Ancestor_02_T2,Ancestor_03_T2,Evolved_01_T1,Evolved_02_T1,Evolved_03_T1,Evolved_01_T2,Evolved_02_T2,Evolved_03_T2,,,,
15.99,0.880798,0.679292,0.95878,0.925254,0.495583,0.570286,0.838596,1.065286,1.130956,1.333021,1.423082,1.244862,,,,
16.08,0.935204,0.718081,0.997558,0.908416,0.525725,0.602519,0.866987,1.088664,1.163713,1.280749,1.385327,1.262025,,,,
16.18,0.987201,0.759139,1.033964,0.889445,0.561123,0.652707,0.896018,1.107497,1.188768,1.228856,1.346592,1.271467,,,,
16.28,1.035378,0.800601,1.064875,0.864912,0.60359,0.706282,0.918744,1.126494,1.209129,1.177323,1.3075,1.275358,,,,
16.37,1.079874,0.844991,1.096872,0.838429,0.651895,0.769431,0.943589,1.138383,1.225004,1.129986,1.240814,1.270384,,,,
16.47,1.123119,0.892232,1.124697,0.809473,0.706573,0.832309,0.965364,1.144442,1.234015,1.080923,1.184577,1.259087,,,,
16.56,1.162081,0.937957,1.14575,0.781211,0.765686,0.889553,0.985257,1.145761,1.235328,1.038568,1.140094,1.236824,,,,
16.66,1.195846,0.983638,1.16514,0.750141,0.830162,0.949648,1.002408,1.139953,1.231593,0.994089,1.091738,1.211137,,,,
16.76,1.218876,1.02508,1.182813,0.722191,0.897666,1.010107,1.016934,1.128495,1.22247,0.953031,1.05152,1.183024,,,,
16.85,1.23566,1.062255,1.191643,0.691151,0.965917,1.073003,1.026472,1.113795,1.206277,0.91088,0.992093,1.154023,,,,
16.95,1.244869,1.096766,1.199549,0.662574,1.031308,1.123158,1.033306,1.092084,1.186196,0.875467,0.938931,1.116546,,,,
17.05,1.245932,1.12478,1.200437,0.636339,1.095722,1.160879,1.03728,1.065621,1.161712,0.839986,0.893469,1.072395,,,,
17.15,1.234812,1.145496,1.198972,0.613531,1.152844,1.193272,1.038059,1.037231,1.133174,0.809701,0.855621,1.031118,,,,
17.24,1.219218,1.159105,1.190733,0.58907,1.204047,1.224321,1.033694,1.005453,1.101523,0.779609,0.811401,0.987715,,,,
17.34,1.195213,1.165947,1.176798,0.568493,1.245565,1.248817,1.023923,0.971907,1.069188,0.753181,0.779803,0.942631,,,,
17.44,1.165844,1.16405,1.159483,0.548905,1.280773,1.251932,1.012427,0.937159,1.035927,0.724799,0.748258,0.906085,,,,
17.53,1.130627,1.155846,1.134353,0.531963,1.304611,1.259635,0.995339,0.902085,0.998981,0.701778,0.718582,0.86095,,,,
17.63,1.094104,1.142679,1.108551,0.51614,1.319032,1.253975,0.975324,0.868258,0.966094,0.677103,0.68905,0.823955,,,,
17.72,1.05405,1.123255,1.079051,0.503196,1.323385,1.241604,0.954369,0.836301,0.930965,0.657006,0.657491,0.784479,,,,
17.82,1.012111,1.097214,1.046076,0.492008,1.316433,1.226501,0.929625,0.80506,0.897183,0.639643,0.631831,0.750832,,,,
17.91,0.968758,1.069992,1.013473,0.479852,1.303316,1.203952,0.903234,0.775989,0.86558,0.622339,0.607617,0.714933,,,,
18.01,0.927941,1.040768,0.981194,0.469946,1.277424,1.175662,0.876063,0.748307,0.836729,0.606885,0.584873,0.684523,,,,
18.11,0.886075,1.005428,0.948046,0.461492,1.249255,1.13086,0.84677,0.723763,0.807743,0.589264,0.563291,0.653054,,,,
18.2,0.84663,0.972377,0.916196,0.454122,1.211884,1.094505,0.817242,0.700286,0.779894,0.575967,0.546281,0.620292,,,,
18.3,0.809261,0.939618,0.885416,0.447705,1.17079,1.052081,0.789996,0.681402,0.754413,0.562082,0.530963,0.594022,,,,
18.4,0.770905,0.902748,0.856835,0.442318,1.123879,1.009143,0.763141,0.659634,0.733201,0.551458,0.515944,0.571916,,,,
18.5,0.735307,0.8666,0.827962,0.437131,1.080597,0.965411,0.737098,0.644619,0.712056,0.541087,0.503133,0.551518,,,,
18.59,0.702184,0.832651,0.802879,0.432197,1.034842,0.922875,0.712647,0.629105,0.69226,0.531779,0.490993,0.529463,,,,
18.69,0.674053,0.800084,0.778215,0.429004,0.98789,0.882088,0.691547,0.617834,0.67889,0.52403,0.479898,0.511031,,,,
18.79,0.647563,0.767408,0.75635,0.4257,0.936255,0.844368,0.669181,0.606451,0.664351,0.516433,0.468403,0.499247,,,,
18.88,0.626447,0.739161,0.737069,0.419743,0.890934,0.805864,0.65051,0.597072,0.652733,0.510279,0.459594,0.4828,,,,
